,Agency Name,Agency Logo,Agency Type
0,Lina Homes,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/lina-home-real-estate.svg,Estate Agency
1,Ian Smith Estate Agency,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/ian-smith-estate-agency.svg,Estate Agency
2,Buy & Sell,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/3045.png,Estate Agency
3,Tüfekçi Emlak,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/tufekci.jpg,Estate Agency
4,BD INVESTMENT,,Estate Agency
5,Kurtbir Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/27897-logo-20220314112458.svg,Estate Agency
6,Zella Real Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/12639-logo-20210707144053.svg,Estate Agency
7,Lanes Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/lanes-emlak.svg,Estate Agency
8,Pear Estates,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/17855-logo-20210909133917.png,Estate Agency
9,GARENTO REAL ESTATE,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/2918-logo-20180710153808.jpeg,Estate Agency
10,PrimeKey Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/primekey-estate-agency.svg,Estate Agency
11,North Cyprus Estate Agents,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/ncea-estate-agents.svg,Estate Agency
12,Golden Olive Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/golden-olive-estate.svg,Estate Agency
13,North Cove Property,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/4272-logo-20210728162800.svg,Estate Agency
14,Envoy Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/7043-logo-20211122100439.svg,Estate Agency
15,Ashrafi Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/ashrafi-estate.svg,Estate Agency
16,COLDWELL BANKER MAXIMUM GİRNE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/coldwell-banker-maximum.svg,Estate Agency
